Case,Perturbation,Formulation,Merge,A_parameter,n,mean,std,median,max,cv,tail_ratio,cv_ge_5pct,tail_ge_2x
case2746wop,"(0.05, 1547)",Chordal_AMD,True,4.0,20,71.50837008816889,4.343658357926181,71.85946214600699,76.24463486496825,0.06074335567389533,1.061024290858889,True,False
case2746wop,"(0.05, 1547)",Chordal_AMD,True,5.0,20,63.28885343266302,7.34213631233215,66.10565105255228,71.43045106704812,0.11600994352258111,1.0805498460375615,True,False
case2746wop,"(0.05, 1547)",Chordal_MD,False,0.0,20,100.92603338279295,8.348458046417871,104.8911331424897,107.22055665496735,0.08271857881062047,1.0222080117040326,True,False
case2746wop,"(0.05, 1547)",Chordal_MD,True,2.0,20,172.4223891331465,16.606876035068666,182.56450564897386,185.55735106900104,0.09631507902517607,1.0163933586618512,True,False
case2746wop,"(0.05, 1547)",Chordal_MD,True,3.0,20,77.75148202129931,6.901486048739204,82.1060068444931,84.27088642399758,0.0887634019226618,1.026366884259817,True,False
case2746wop,"(0.05, 1547)",Chordal_MD,True,4.0,20,75.77183590990026,6.184140047347938,78.68766386399511,81.88558220100822,0.08161528585240371,1.0406406567431006,True,False
case2746wop,"(0.05, 1547)",Chordal_MD,True,5.0,20,75.26176574860293,5.989571177993243,78.26409889000934,81.3373686390114,0.07958318700627119,1.0392679375676601,True,False
case2746wop,"(0.05, 1547)",Chordal_MFI,False,0.0,20,91.20024162344926,7.203525326533618,94.8658308055019,98.04557668900816,0.07898581405382438,1.0335183475072864,True,False
case2746wop,"(0.05, 1547)",Chordal_MFI,True,2.0,20,154.86362624540342,16.391040199983905,164.9305217494839,170.6211019619368,0.10584176928680446,1.0345028934128786,True,False
case2746wop,"(0.05, 1547)",Chordal_MFI,True,3.0,20,74.84508663355082,5.915874100481569,77.99591797194444,80.45873847603798,0.07904158264184118,1.0315762743504018,True,False
case2746wop,"(0.05, 1547)",Chordal_MFI,True,4.0,20,73.39391238180687,5.117923750218718,75.57672714750515,79.39987324608956,0.06973226503574928,1.0505862881720542,True,False
case2746wop,"(0.05, 1547)",Chordal_MFI,True,5.0,20,73.59144264685456,5.937424401490047,76.59244875999866,79.1761757369386,0.08068090783302267,1.033733442640488,True,False
case2746wop,"(0.06, 1045)",Chordal_AMD,False,0.0,20,59.57953346158028,2.4284589949441444,60.16580445645377,62.178988486062735,0.04075995318946447,1.0334606018783652,False,False
case2746wop,"(0.06, 1045)",Chordal_AMD,True,2.0,20,105.61809636785183,6.991847550107725,108.34714069205802,112.43863012397196,0.06619933316877989,1.0377627817935933,True,False
case2746wop,"(0.06, 1045)",Chordal_AMD,True,3.0,20,49.366273544350406,1.5108029648657502,49.532365248480346,51.65618255897425,0.030603949951953584,1.0428773651296424,False,False
case2746wop,"(0.06, 1045)",Chordal_AMD,True,4.0,20,50.82412604818237,1.4942287972920825,50.94908231543377,52.87218083406333,0.029399989994427472,1.0377454986671468,False,False
case2746wop,"(0.06, 1045)",Chordal_AMD,True,5.0,20,47.84510768679902,3.3115373438768914,48.91402901802212,52.12560792698059,0.06921370865240169,1.0656576236599766,True,False
case2746wop,"(0.06, 1045)",Chordal_MD,False,0.0,20,69.02220076494268,6.359537668535238,71.14028035802767,75.85599526803708,0.0921375673052334,1.0662875502637414,True,False
case2746wop,"(0.06, 1045)",Chordal_MD,True,2.0,20,119.78192263500242,10.817921680936998,123.52011184950244,127.10892963199876,0.0903134750466579,1.0290545218002147,True,False
case2746wop,"(0.06, 1045)",Chordal_MD,True,3.0,20,54.139007103952466,3.726691934395869,55.13199842098402,57.849084947956726,0.06883561656829496,1.049283294725238,True,False
case2746wop,"(0.06, 1045)",Chordal_MD,True,4.0,20,54.52671824210847,3.494209025861218,54.50492192650563,58.72664792696014,0.06408251107917956,1.077455867309508,True,False
case2746wop,"(0.06, 1045)",Chordal_MD,True,5.0,20,54.12099974680168,3.2098449619722227,53.88799829449272,57.84141766396351,0.05930867827625285,1.0733636337327979,True,False
case2746wop,"(0.06, 1045)",Chordal_MFI,False,0.0,20,62.00400253689732,3.6480281992947816,61.944683393492596,66.1747413080302,0.058835366267264995,1.0682876670410424,True,False
case2746wop,"(0.06, 1045)",Chordal_MFI,True,2.0,20,108.43401859584556,10.901013431067597,112.36196475598263,119.61280844302382,0.10053130532492548,1.0645311222777913,True,False
case2746wop,"(0.06, 1045)",Chordal_MFI,True,3.0,20,51.10195586445043,2.4984622873992817,52.006935801531654,53.5348365859827,0.048891715495714735,1.0293787888269712,False,False
